Customer Status,Tenure in Months,Contract,Monthly Charge,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Internet Type
Churned,13,Month-to-Month,100.35,26,6.78,Fiber Optic
Churned,1,Month-to-Month,74.3,8,39.66,Fiber Optic
Churned,21,Month-to-Month,106.1,59,21.83,Fiber Optic
Churned,55,Month-to-Month,54.55,42,0.0,DSL
Churned,1,Month-to-Month,74.5,25,13.61,Fiber Optic
Churned,3,Month-to-Month,74.1,24,16.29,Fiber Optic
Churned,1,Month-to-Month,20.2,0,48.25,None
Churned,9,Month-to-Month,100.5,15,48.71,Fiber Optic
Churned,21,Month-to-Month,60.05,14,34.62,DSL
Churned,1,Month-to-Month,45.1,14,15.24,DSL
Churned,1,Month-to-Month,95.1,11,4.89,Fiber Optic
Churned,2,Month-to-Month,93.85,14,25.19,Fiber Optic
Churned,68,Month-to-Month,100.2,24,21.33,Cable
Churned,7,Month-to-Month,75.15,53,8.69,Fiber Optic
Churned,40,Month-to-Month,101.3,4,22.56,Cable
Churned,1,Month-to-Month,75.8,26,14.48,Fiber Optic
Churned,11,Month-to-Month,74.95,30,21.58,Fiber Optic
Churned,46,Month-to-Month,93.7,3,15.78,Fiber Optic
Churned,1,Month-to-Month,20.95,0,40.48,None
Churned,29,Month-to-Month,94.65,15,40.49,Fiber Optic
Churned,17,Month-to-Month,70.0,17,7.66,Fiber Optic
Churned,4,Month-to-Month,24.45,9,0.0,DSL
Churned,25,Month-to-Month,84.8,22,8.31,Fiber Optic
Churned,3,Month-to-Month,63.6,25,3.64,DSL
Churned,1,Month-to-Month,70.4,15,29.63,Fiber Optic
Churned,45,Month-to-Month,100.85,3,14.12,Fiber Optic
Churned,1,Month-to-Month,55.4,4,13.01,Cable
Churned,2,Month-to-Month,55.1,52,5.33,Cable
Churned,9,Month-to-Month,55.35,27,41.02,DSL
Churned,3,Month-to-Month,35.45,85,0.0,DSL
Churned,67,Month-to-Month,102.95,30,37.5,Fiber Optic
Churned,41,Month-to-Month,83.75,18,45.84,Fiber Optic
Churned,9,Month-to-Month,83.85,13,10.04,Fiber Optic
Churned,22,Month-to-Month,90.5,27,46.11,Fiber Optic
Churned,29,Month-to-Month,94.45,21,6.25,Fiber Optic
Churned,46,Month-to-Month,85.0,29,36.78,Fiber Optic
Churned,19,Month-to-Month,106.6,19,28.35,Fiber Optic
Churned,1,Month-to-Month,55.0,53,47.22,Cable
Churned,1,Month-to-Month,52.2,23,34.04,DSL
Churned,12,Month-to-Month,98.9,23,34.92,Cable
Churned,32,Month-to-Month,99.55,26,33.57,Fiber Optic
Churned,1,Month-to-Month,35.55,26,0.0,DSL
Churned,24,Month-to-Month,96.0,2,24.76,Fiber Optic
Churned,48,One Year,103.25,47,6.36,Fiber Optic
Churned,8,Month-to-Month,103.35,41,19.68,Fiber Optic
Churned,22,Month-to-Month,54.45,7,7.28,DSL
Churned,2,Month-to-Month,76.4,51,20.5,Fiber Optic
Churned,28,Month-to-Month,92.35,20,37.66,Fiber Optic
Churned,36,One Year,65.4,85,26.51,Cable
Churned,4,Month-to-Month,73.9,30,33.65,Fiber Optic
Churned,4,Month-to-Month,74.8,29,7.26,Fiber Optic
Churned,8,Month-to-Month,94.0,14,23.89,Fiber Optic
Churned,33,Month-to-Month,104.4,12,11.32,Fiber Optic
Churned,6,Month-to-Month,90.1,3,1.15,Fiber Optic
Churned,26,Month-to-Month,89.8,25,6.24,Fiber Optic
Churned,30,Month-to-Month,94.4,6,28.85,Fiber Optic
Churned,5,Month-to-Month,85.75,22,1.12,Fiber Optic
Churned,1,Month-to-Month,82.3,28,33.41,Fiber Optic
Churned,1,Month-to-Month,56.25,22,26.14,DSL
Churned,1,Month-to-Month,95.45,2,5.59,Fiber Optic
Churned,46,Month-to-Month,100.7,17,49.11,Fiber Optic
Churned,2,Month-to-Month,24.35,11,0.0,DSL
Churned,8,Month-to-Month,81.25,26,5.02,Fiber Optic
Churned,15,Month-to-Month,96.3,8,19.11,Fiber Optic
Churned,47,Month-to-Month,85.2,12,16.83,Fiber Optic
Churned,12,Month-to-Month,19.0,0,19.48,None
Churned,3,Month-to-Month,80.3,14,48.38,Fiber Optic
Churned,1,Month-to-Month,76.0,52,35.01,Fiber Optic
Churned,29,Month-to-Month,98.6,2,27.75,Fiber Optic
Churned,1,Month-to-Month,88.35,46,14.26,Fiber Optic
Churned,31,Month-to-Month,78.45,20,34.38,Fiber Optic
Churned,2,Month-to-Month,70.75,10,26.93,DSL
Churned,4,Month-to-Month,88.95,51,48.32,Fiber Optic
Churned,18,Month-to-Month,94.7,20,31.49,Fiber Optic
Churned,3,Month-to-Month,96.6,13,9.95,Fiber Optic
Churned,1,Month-to-Month,80.15,11,4.67,Fiber Optic
Churned,19,Month-to-Month,78.25,25,20.26,Fiber Optic
Churned,65,One Year,89.75,16,49.33,Fiber Optic
Churned,3,Month-to-Month,81.35,14,9.22,Fiber Optic
Churned,66,Two Year,79.4,15,30.03,DSL
Churned,1,Month-to-Month,24.8,19,0.0,DSL
Churned,43,Month-to-Month,89.55,6,39.12,Fiber Optic
Churned,1,Month-to-Month,45.65,24,14.12,Cable
Churned,13,Month-to-Month,79.25,76,33.54,Fiber Optic
Churned,2,Month-to-Month,85.65,27,40.43,Cable
Churned,1,Month-to-Month,69.55,13,29.78,Fiber Optic
Churned,15,Month-to-Month,69.0,28,4.67,Fiber Optic
Churned,2,Month-to-Month,89.55,23,8.86,Fiber Optic
Churned,16,Month-to-Month,72.65,17,46.99,Fiber Optic
Churned,67,One Year,90.6,5,30.75,Fiber Optic
Churned,16,Month-to-Month,65.2,30,47.45,DSL
Churned,29,Month-to-Month,70.75,16,11.24,Fiber Optic
Churned,1,Month-to-Month,46.3,21,48.22,DSL
Churned,9,Month-to-Month,45.15,2,15.62,DSL
Churned,1,Month-to-Month,74.9,30,35.25,Fiber Optic
Churned,5,Month-to-Month,49.2,18,7.31,DSL
Churned,4,Month-to-Month,80.85,59,44.28,Fiber Optic
Churned,15,Month-to-Month,20.0,0,31.14,None
Churned,33,One Year,73.9,4,33.32,DSL
Churned,39,One Year,95.55,71,4.48,Fiber Optic
Churned,16,Month-to-Month,94.25,59,20.44,Fiber Optic
Churned,70,Two Year,114.2,48,16.78,Fiber Optic
Churned,58,Month-to-Month,93.4,20,3.65,Fiber Optic
Churned,4,Month-to-Month,74.35,13,47.82,Fiber Optic
Churned,4,Month-to-Month,89.2,24,48.35,Cable
Churned,8,Month-to-Month,100.3,27,11.57,Fiber Optic
Churned,12,Month-to-Month,43.65,10,0.0,DSL
Churned,5,Month-to-Month,84.85,27,27.35,Fiber Optic
Churned,15,Month-to-Month,79.4,12,17.23,Fiber Optic
Churned,66,One Year,110.85,13,48.87,Fiber Optic
Churned,2,Month-to-Month,70.65,25,12.52,Fiber Optic
Churned,7,Month-to-Month,101.95,3,34.66,Fiber Optic
Churned,57,Month-to-Month,100.6,3,42.1,Fiber Optic
Churned,17,Month-to-Month,64.7,41,40.55,Cable
Churned,10,Month-to-Month,98.5,30,14.53,Fiber Optic
Churned,58,One Year,103.25,47,44.5,Fiber Optic
Churned,4,Month-to-Month,94.4,18,39.68,Fiber Optic
Churned,3,Month-to-Month,79.1,2,32.43,Fiber Optic
Churned,21,One Year,55.95,69,0.0,Cable
Churned,25,Month-to-Month,100.25,3,36.24,Fiber Optic
Churned,1,Month-to-Month,29.7,69,0.0,Cable
Churned,5,Month-to-Month,53.85,22,24.32,Cable
Churned,15,Month-to-Month,76.0,52,44.86,Fiber Optic
Churned,2,Month-to-Month,69.8,27,37.72,Fiber Optic
Churned,7,Month-to-Month,86.5,11,22.61,Fiber Optic
Churned,2,Month-to-Month,45.25,48,0.0,DSL
Churned,1,Month-to-Month,30.5,19,0.0,DSL
Churned,10,Month-to-Month,95.35,14,41.37,Fiber Optic
Churned,32,Month-to-Month,85.3,10,49.6,Fiber Optic
Churned,38,Month-to-Month,57.15,27,26.1,DSL
Churned,20,Month-to-Month,85.8,15,29.29,Fiber Optic
Churned,27,Month-to-Month,95.55,7,39.49,Fiber Optic
Churned,31,Month-to-Month,73.9,2,15.43,Fiber Optic
Churned,7,Month-to-Month,94.7,17,9.7,Fiber Optic
Churned,27,Month-to-Month,104.3,27,10.19,Fiber Optic
Churned,22,Month-to-Month,40.05,18,0.0,Cable
Churned,55,Month-to-Month,96.75,27,49.06,Fiber Optic
Churned,4,Month-to-Month,70.9,27,33.5,Fiber Optic
Churned,2,Month-to-Month,70.4,21,46.23,Fiber Optic
Churned,13,Month-to-Month,96.65,11,45.6,Fiber Optic
Churned,26,Month-to-Month,90.8,11,15.37,Fiber Optic
Churned,25,Month-to-Month,70.95,18,24.91,Fiber Optic
Churned,7,Month-to-Month,75.45,15,18.1,Fiber Optic
Churned,52,Month-to-Month,84.1,14,38.37,Fiber Optic
Churned,1,Month-to-Month,74.6,3,44.73,Fiber Optic
Churned,8,Month-to-Month,70.1,85,13.04,Fiber Optic
Churned,4,Month-to-Month,76.05,29,42.44,Fiber Optic
Churned,18,Month-to-Month,49.4,3,20.86,DSL
Churned,11,Month-to-Month,73.5,30,38.88,Fiber Optic
Churned,1,Month-to-Month,74.7,69,44.11,Fiber Optic
Churned,36,Month-to-Month,99.15,7,13.35,Fiber Optic
Churned,7,One Year,49.75,85,36.14,DSL
Churned,11,Month-to-Month,80.5,27,11.5,Fiber Optic
Churned,13,Month-to-Month,89.4,15,8.59,Fiber Optic
Churned,16,Month-to-Month,93.2,7,40.76,Fiber Optic
Churned,13,Month-to-Month,94.1,52,43.56,Fiber Optic
Churned,54,Month-to-Month,100.1,9,41.83,Fiber Optic
Churned,13,Month-to-Month,90.5,4,26.11,Fiber Optic
Churned,41,Month-to-Month,99.8,15,22.56,Fiber Optic
Churned,1,Month-to-Month,49.55,9,24.24,Cable
Churned,15,Month-to-Month,80.2,5,12.08,Fiber Optic
Churned,1,Month-to-Month,73.0,5,20.55,Fiber Optic
Churned,3,Month-to-Month,74.4,71,14.6,Fiber Optic
Churned,1,Month-to-Month,50.65,59,14.78,DSL
Churned,12,Month-to-Month,99.7,14,16.07,Fiber Optic
Churned,9,Month-to-Month,65.0,69,6.35,Cable
Churned,10,Month-to-Month,110.1,6,18.03,Fiber Optic
Churned,9,Month-to-Month,74.25,76,13.86,Fiber Optic
Churned,38,Month-to-Month,99.25,85,31.27,Fiber Optic
Churned,11,Month-to-Month,74.95,29,25.24,Fiber Optic
Churned,1,Month-to-Month,20.5,0,34.57,None
Churned,22,One Year,67.5,17,19.8,Cable
Churned,12,Month-to-Month,81.7,3,18.38,Fiber Optic
Churned,1,Month-to-Month,19.95,0,8.03,None
Churned,23,Month-to-Month,99.25,7,19.2,Fiber Optic
Churned,10,Month-to-Month,80.05,10,49.7,Fiber Optic
Churned,39,One Year,80.0,9,35.7,DSL
Churned,3,Month-to-Month,25.25,27,0.0,DSL
Churned,19,Month-to-Month,99.95,18,2.19,Fiber Optic
Churned,3,Month-to-Month,29.6,3,0.0,Cable
Churned,3,Month-to-Month,50.65,3,22.56,Cable
Churned,53,One Year,60.05,6,21.67,Cable
Churned,4,Month-to-Month,99.6,20,18.91,Fiber Optic
Churned,10,Month-to-Month,92.5,30,11.12,Fiber Optic
Churned,27,Month-to-Month,101.25,13,45.82,Fiber Optic
Churned,47,Month-to-Month,99.35,16,31.35,Fiber Optic
Churned,1,Month-to-Month,48.55,9,11.35,DSL
Churned,24,Month-to-Month,80.25,20,49.3,Fiber Optic
Churned,2,Month-to-Month,74.4,41,9.79,Fiber Optic
Churned,15,Month-to-Month,93.35,15,48.93,Fiber Optic
Churned,3,Month-to-Month,95.1,29,47.62,Cable
Churned,17,Month-to-Month,80.85,3,16.61,Fiber Optic
Churned,22,Month-to-Month,101.35,19,10.33,Fiber Optic
Churned,31,Month-to-Month,35.4,23,0.0,DSL
Churned,54,Month-to-Month,104.3,23,35.46,Fiber Optic
Churned,8,Month-to-Month,51.05,20,3.85,DSL
Churned,1,Month-to-Month,80.85,21,14.91,Fiber Optic
Churned,16,Month-to-Month,73.85,30,17.96,Fiber Optic
Churned,2,Month-to-Month,25.05,73,0.0,Cable
Churned,4,Month-to-Month,79.9,46,43.06,Fiber Optic
Churned,67,Two Year,79.7,3,42.77,DSL
Churned,10,Month-to-Month,100.6,3,45.21,Fiber Optic
Churned,5,Month-to-Month,94.45,24,39.36,Fiber Optic
Churned,1,Month-to-Month,84.85,41,36.07,Fiber Optic
Churned,3,Month-to-Month,99.0,59,33.39,Fiber Optic
Churned,13,Month-to-Month,84.05,21,29.92,Fiber Optic
Churned,10,Month-to-Month,80.7,3,17.07,Fiber Optic
Churned,6,Month-to-Month,69.25,5,39.36,Fiber Optic
Churned,1,Month-to-Month,101.45,7,10.38,Fiber Optic
Churned,13,Month-to-Month,84.6,42,35.96,Fiber Optic
Churned,2,Month-to-Month,56.7,53,5.67,DSL
Churned,12,Month-to-Month,83.8,7,28.63,Cable
Churned,1,Month-to-Month,19.45,0,22.92,None
Churned,5,Month-to-Month,91.4,11,4.59,Fiber Optic
Churned,2,Month-to-Month,50.15,20,6.86,DSL
Churned,72,Two Year,92.45,6,25.77,DSL
Churned,54,Month-to-Month,79.5,10,45.77,Fiber Optic
Churned,4,Month-to-Month,74.9,29,26.23,Fiber Optic
Churned,2,Month-to-Month,86.85,11,4.19,Fiber Optic
Churned,10,Month-to-Month,55.2,69,9.41,Cable
Churned,4,Month-to-Month,45.65,27,45.4,DSL
Churned,12,One Year,53.65,26,27.82,DSL
Churned,16,Month-to-Month,49.95,29,0.0,DSL
Churned,49,Month-to-Month,59.75,30,35.87,DSL
Churned,1,Month-to-Month,70.9,23,39.81,Fiber Optic
Churned,5,Month-to-Month,54.2,69,3.61,DSL
Churned,2,Month-to-Month,73.25,15,2.96,Fiber Optic
Churned,1,Month-to-Month,45.8,18,22.11,DSL
Churned,2,Month-to-Month,49.6,26,21.28,Cable
Churned,1,Month-to-Month,84.3,59,1.63,Fiber Optic
Churned,6,Month-to-Month,82.85,28,8.59,Fiber Optic
Churned,19,Month-to-Month,39.65,21,0.0,DSL
Churned,32,Month-to-Month,104.9,22,43.51,Fiber Optic
Churned,23,Month-to-Month,106.4,29,17.62,Fiber Optic
Churned,9,Month-to-Month,54.55,7,2.45,DSL
Churned,36,Month-to-Month,84.1,15,31.65,Fiber Optic
Churned,42,Month-to-Month,104.75,12,16.22,Fiber Optic
Churned,5,Month-to-Month,88.9,27,41.57,Cable
Churned,13,Month-to-Month,81.15,4,3.84,Fiber Optic
Churned,29,Month-to-Month,68.85,19,1.02,DSL
Churned,50,Month-to-Month,105.95,13,20.88,Fiber Optic
Churned,65,Two Year,108.65,7,41.88,Fiber Optic
Churned,15,Month-to-Month,88.15,76,12.27,Fiber Optic
Churned,37,One Year,99.2,4,30.16,Fiber Optic
Churned,5,Month-to-Month,24.95,7,0.0,DSL
Churned,18,One Year,82.0,5,12.5,DSL
Churned,7,Month-to-Month,93.85,23,15.51,Fiber Optic
Churned,1,Month-to-Month,25.1,28,0.0,Cable
Churned,12,Month-to-Month,89.4,9,17.46,Fiber Optic
Churned,31,Month-to-Month,93.8,17,2.12,Fiber Optic
Churned,1,Month-to-Month,69.6,59,14.19,Fiber Optic
Churned,3,Month-to-Month,19.8,0,15.12,None
Churned,17,Month-to-Month,104.2,15,4.91,Fiber Optic
Churned,1,Month-to-Month,84.65,51,22.3,Fiber Optic
Churned,1,Month-to-Month,55.7,22,48.22,Cable
Churned,1,Month-to-Month,53.55,14,1.59,Cable
Churned,1,Month-to-Month,69.95,16,27.58,Fiber Optic
Churned,30,Month-to-Month,19.65,0,15.36,None
Churned,11,Month-to-Month,19.95,0,29.54,None
Churned,2,Month-to-Month,88.55,28,21.57,Fiber Optic
Churned,15,Month-to-Month,74.2,9,23.53,Fiber Optic
Churned,33,Month-to-Month,110.45,25,17.24,Fiber Optic
Churned,7,Month-to-Month,84.55,12,21.43,Fiber Optic
Churned,27,Month-to-Month,85.25,25,31.17,Fiber Optic
Churned,24,Month-to-Month,104.25,11,49.76,Fiber Optic
Churned,53,One Year,94.85,73,40.62,Fiber Optic
Churned,1,Month-to-Month,73.6,52,6.19,Fiber Optic
Churned,1,Month-to-Month,74.7,8,21.91,Fiber Optic
Churned,70,Two Year,104.0,42,12.19,Fiber Optic
Churned,1,Month-to-Month,89.9,53,32.85,Fiber Optic
Churned,18,Month-to-Month,90.1,19,34.21,Fiber Optic
Churned,41,Month-to-Month,114.5,59,21.56,Fiber Optic
Churned,8,Month-to-Month,75.0,42,5.34,Fiber Optic
Churned,12,Month-to-Month,99.95,42,28.16,Fiber Optic
Churned,2,Month-to-Month,91.4,7,39.62,Fiber Optic
Churned,24,Month-to-Month,49.55,28,14.39,DSL
Churned,47,Month-to-Month,98.75,51,2.87,Fiber Optic
Churned,6,Month-to-Month,98.15,26,20.26,Fiber Optic
Churned,8,Month-to-Month,94.2,76,38.83,Fiber Optic
Churned,28,Month-to-Month,94.5,26,35.52,Fiber Optic
Churned,1,Month-to-Month,53.5,73,14.58,DSL
Churned,1,Month-to-Month,20.1,0,16.81,None
Churned,23,Month-to-Month,83.8,28,38.81,Fiber Optic
Churned,5,Month-to-Month,40.0,59,0.0,Cable
Churned,50,Month-to-Month,84.4,17,35.33,Fiber Optic
Churned,57,Month-to-Month,104.5,25,40.13,Fiber Optic
Churned,1,Month-to-Month,79.05,52,31.34,Fiber Optic
Churned,39,Month-to-Month,48.95,48,0.0,Cable
Churned,2,Month-to-Month,76.5,30,17.22,Fiber Optic
Churned,6,Month-to-Month,47.95,71,0.0,DSL
Churned,37,Month-to-Month,64.75,71,3.27,Cable
Churned,2,Month-to-Month,80.25,30,39.03,Fiber Optic
Churned,32,Month-to-Month,91.05,9,46.92,Fiber Optic
Churned,16,Month-to-Month,94.45,9,9.43,Fiber Optic
Churned,46,One Year,110.0,20,2.37,Fiber Optic
Churned,8,Month-to-Month,92.1,9,42.93,Fiber Optic
Churned,35,Month-to-Month,100.5,22,15.98,Cable
Churned,1,Month-to-Month,93.55,6,30.17,Fiber Optic
Churned,16,Month-to-Month,74.3,8,26.12,Fiber Optic
Churned,5,Month-to-Month,50.35,28,18.69,DSL
Churned,10,Month-to-Month,85.55,27,6.01,Fiber Optic
Churned,22,Month-to-Month,74.4,23,5.09,Fiber Optic
Churned,38,One Year,80.3,19,42.14,DSL
Churned,23,Month-to-Month,75.6,23,27.61,Fiber Optic
Churned,2,Month-to-Month,45.35,9,25.49,DSL
Churned,71,Two Year,108.05,53,49.42,Fiber Optic
Churned,4,Month-to-Month,20.35,0,12.43,None
Churned,5,Month-to-Month,85.3,27,36.52,Fiber Optic
Churned,2,Month-to-Month,55.05,30,42.55,DSL
Churned,9,Month-to-Month,45.4,20,0.0,Cable
Churned,7,Month-to-Month,79.65,18,40.32,Fiber Optic
Churned,3,Month-to-Month,100.95,30,11.94,Cable
Churned,2,Month-to-Month,45.85,16,19.52,Cable
Churned,57,One Year,70.1,7,36.65,DSL
Churned,1,Month-to-Month,78.65,10,46.09,Fiber Optic
Churned,1,Month-to-Month,20.2,0,45.49,None
Churned,14,Month-to-Month,89.8,29,10.3,Fiber Optic
Churned,35,One Year,85.15,16,25.51,Fiber Optic
Churned,8,Month-to-Month,84.95,6,32.31,Fiber Optic
Churned,59,Month-to-Month,106.75,21,49.31,Fiber Optic
Churned,29,Month-to-Month,25.1,22,0.0,Cable
Churned,9,Month-to-Month,79.55,23,45.41,Fiber Optic
Churned,13,Month-to-Month,99.0,21,24.14,Fiber Optic
Churned,33,One Year,103.75,24,15.66,Fiber Optic
Churned,5,Month-to-Month,74.35,22,45.76,Fiber Optic
Churned,35,Month-to-Month,99.05,19,20.83,Fiber Optic
Churned,13,Month-to-Month,89.05,5,1.47,Fiber Optic
Churned,69,Month-to-Month,89.95,4,16.34,Fiber Optic
Churned,1,Month-to-Month,86.0,22,28.82,Fiber Optic
Churned,29,Month-to-Month,99.05,6,22.33,Fiber Optic
Churned,38,Month-to-Month,74.95,30,15.78,Fiber Optic
Churned,15,Month-to-Month,99.1,20,3.96,Fiber Optic
Churned,22,Month-to-Month,89.25,2,18.01,Fiber Optic
Churned,37,Month-to-Month,98.8,42,30.72,Fiber Optic
Churned,1,Month-to-Month,74.95,26,30.07,Fiber Optic
Churned,42,Month-to-Month,77.95,18,34.02,Fiber Optic
Churned,66,One Year,102.45,12,48.77,Fiber Optic
Churned,1,Month-to-Month,45.95,19,46.17,Cable
Churned,2,Month-to-Month,75.7,2,42.16,Cable
Churned,7,Month-to-Month,69.35,28,14.75,Fiber Optic
Churned,25,Month-to-Month,94.7,8,34.88,Fiber Optic
Churned,1,Month-to-Month,50.6,13,11.86,Cable
Churned,16,Month-to-Month,19.7,0,5.74,None
Churned,1,Month-to-Month,69.1,18,38.66,Fiber Optic
Churned,1,Month-to-Month,95.0,5,12.04,Cable
Churned,55,Month-to-Month,96.8,29,47.38,Fiber Optic
Churned,38,Month-to-Month,83.9,48,36.18,Fiber Optic
